time (ms),Viavi.Cell.Name,samples,Viavi.isEnergySaving,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbUsedDl,RRU.PrbUsedUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotUl,RRU.PrbTotDl,RRU.MaxLayerDlMimo,CARR.AverageLayersDl,Viavi.Cell.AverageBeamsDl,RRC.ConnMean,RRC.ConnMax,QosFlow.TotPdcpPduVolumeUl,QosFlow.TotPdcpPduVolumeDl,PEE.AvgPower,PEE.Energy,MM.HoExeIntraReq,MM.HoExeIntraSucc,MM.HoExeInterReq,MM.HoExeInterSucc,Viavi.PEE.EnergyEfficiency,Viavi.Radio.power,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrPci,Viavi.NrCgi,_FrameCnt,_Ns3FrameCnt,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabFailCause.NetworkReject,Viavi.Frequency,Viavi.QoS.Score
1727740800000,S1/B1/C1,900,0,0.004813889138555775,0.004813889138555775,1.5777777777777777,1.5777777777777777,100.0,100.0,1.5777777777777777,1.5777777777777777,0.0,0.0,0.0,9.627777777777778,14.358888888888888,4.565555555555555,4.565555555555555,46.69595108879937,0.0058530910296296194,65.99331848552339,65.84486607142857,0,0,103.03670883178711,40.0,1.0,170.0,-733.0,184.0,26.0,1.0,1.0,4240821235048449.0,451.13444444444445,452.13444444444445,0,0,0,0,0,0,0,2100.0,100.0
1727740800000,S1/B1/C2,900,0,0.0019279124196849746,0.0019279124196849746,1.0092272202998847,1.0092272202998847,100.0,100.0,1.0092272202998847,1.0092272202998847,0.0,0.0,0.0,3.855824682814302,8.05888888888889,1.8333333333333333,1.8333333333333333,46.552663514879015,0.0058340603135802705,79.6792873051225,79.52232142857143,0,0,41.455558541461805,40.0,1.0,90.0,-733.0,184.0,14.0,1.0,2.0,4240821235048450.0,451.13444444444445,452.13444444444445,0,0,0,0,0,0,0,2100.0,100.0
1727740800000,S1/B1/C3,900,0,0.0006158392721991854,0.0006158392721991854,1.037825059101655,1.037825059101655,100.0,100.0,1.037825059101655,1.037825059101655,0.0,0.0,0.0,1.2316784869976358,3.0,1.0,1.0,46.42688023885091,0.005816750219753078,12.011135857461024,11.981026785714286,0,0,13.214605736282637,40.0,1.0,270.0,-733.0,184.0,14.0,1.0,3.0,4240821235048451.0,451.13444444444445,452.13444444444445,0,0,0,0,0,0,0,2100.0,100.0
1727740800000,S1/B5/C1,900,0,0.0015534483321846045,0.0015534483321846045,1.0183908045977013,1.0183908045977013,50.0,50.0,2.0367816091954025,2.0367816091954025,0.0,0.0,0.0,3.106896551724138,6.237777777777778,1.5123287671232877,1.5123287671232877,46.78631429884169,0.00586297582654321,23.689309576837417,23.652901785714285,0,0,33.17934369492805,40.0,1.0,320.0,-733.0,184.0,21.0,1.0,4.0,4240821235048452.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,850.0,100.0
1727740800000,S1/B5/C2,900,0,0.014049444905378752,0.014049444905378752,5.128888888888889,5.128888888888889,50.0,50.0,10.257777777777777,10.257777777777777,0.0,0.0,0.0,28.09888888888889,33.74,13.796666666666667,13.796666666666667,48.83367150200738,0.0061264771037037695,120.4120267260579,120.171875,0,0,287.6587981330024,40.0,1.0,30.0,-733.0,184.0,21.0,1.0,5.0,4240821235048453.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,850.0,100.0
1727740800000,S1/N78/C1,900,0,0.000741239923781733,0.000741239923781733,1.0862533692722371,1.0862533692722371,135.0,135.0,6.0,6.0,0.0,0.0,0.0,1.482479784366577,6.0,1.054054054054054,1.054054054054054,45.33193408542209,0.00568165240432102,22.847438752783965,22.8046875,0,0,16.330142088013517,40.0,1.0,70.0,-733.0,184.0,47.0,1.0,6.0,4240821235048454.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,3500.0,100.0
1727740800000,S1/N78/C2,900,0,0.0020000000949949026,0.0020000000949949026,6.0,6.0,135.0,135.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,45.329622989230685,0.005681075589506206,4.0,4.0,0,0,43.135990142822266,40.0,1.0,260.0,-733.0,184.0,29.0,1.0,7.0,4240821235048455.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,3500.0,100.0
1727740800000,S1/N78/C3,900,0,0.0006558441839713071,0.0006558441839713071,1.4675324675324675,1.4675324675324675,135.0,135.0,7.0,7.0,0.0,0.0,0.0,1.3116883116883118,7.0,3.0,3.0,45.333089650472004,0.005681926822530896,11.561247216035635,11.552455357142858,0,0,14.314952094833572,40.0,1.0,250.0,-733.0,184.0,34.0,1.0,8.0,4240821235048456.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,3500.0,100.0
1727740800000,S2/B1/C1,900,0,0.001928888970352192,0.001928888970352192,1.068888888888889,1.068888888888889,100.0,100.0,1.068888888888889,1.068888888888889,0.0,0.0,0.0,3.8577777777777778,10.0,1.7256438969764838,1.7256438969764838,46.57681466844347,0.005838863420370395,43.478841870824056,43.419642857142854,0,0,41.38369031058417,40.0,1.0,170.0,185.0,332.0,40.0,2.0,9.0,4240821235048457.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,2100.0,100.0
1727740800000,S2/B1/C2,900,0,0.003213889023107994,0.003213889023107994,1.3822222222222222,1.3822222222222222,100.0,100.0,1.3822222222222222,1.3822222222222222,0.0,0.0,0.0,6.427777777777778,19.0,2.9732739420935412,2.9732739420935412,46.652416479322646,0.005855076980246937,190.57572383073497,190.22098214285714,0,0,68.81446269989014,40.0,1.0,260.0,185.0,332.0,40.0,2.0,10.0,4240821235048458.0,451.1355555555556,452.1355555555556,0,0,0,0,0,0,0,2100.0,100.0
